Student Code,State,Started on,Completed,Time taken,Grade/10.00,Q. 1 /2.00,Q. 2 /2.00,Q. 3 /2.00,Q. 4 /2.00,Q. 5 /2.00
1207,Finished,4 September 2022  6:25 PM,4 September 2022  6:46 PM,20 mins 41 secs,2.00,0.00,2.00,0.00,0.00,0.00
1464,Finished,4 September 2022  6:40 PM,4 September 2022  6:42 PM,1 min 28 secs,6.00,2.00,0.00,2.00,-,2.00
1185,Finished,4 September 2022  8:02 PM,4 September 2022  8:05 PM,2 mins 39 secs,6.00,0.00,2.00,2.00,2.00,0.00
1183,Finished,4 September 2022  9:43 PM,4 September 2022  9:59 PM,16 mins 33 secs,4.00,0.00,2.00,2.00,0.00,0.00
1192,Finished,4 September 2022  9:47 PM,4 September 2022  9:52 PM,4 mins 40 secs,2.00,2.00,0.00,0.00,0.00,0.00
1210,Finished,4 September 2022  10:02 PM,4 September 2022  10:08 PM,6 mins,2.00,0.00,0.00,2.00,0.00,0.00
583,Finished,5 September 2022  8:59 AM,5 September 2022  9:01 AM,1 min 57 secs,8.00,0.00,2.00,2.00,2.00,2.00
1187,Finished,5 September 2022  9:22 AM,5 September 2022  9:29 AM,6 mins 44 secs,2.00,0.00,2.00,0.00,0.00,0.00
1207,Finished,5 September 2022  9:56 AM,5 September 2022  10:09 AM,12 mins 30 secs,4.00,0.00,2.00,0.00,0.00,2.00
1649,Finished,5 September 2022  10:10 AM,5 September 2022  10:12 AM,2 mins 20 secs,6.00,2.00,2.00,0.00,0.00,2.00
1188,Finished,5 September 2022  10:50 AM,5 September 2022  11:08 AM,18 mins 17 secs,6.00,2.00,2.00,2.00,0.00,0.00
1199,Finished,5 September 2022  11:17 AM,5 September 2022  11:22 AM,4 mins 50 secs,0.00,0.00,0.00,0.00,0.00,0.00
1192,Finished,5 September 2022  11:27 AM,5 September 2022  11:29 AM,1 min 28 secs,6.00,2.00,2.00,2.00,0.00,0.00
1187,Finished,5 September 2022  11:30 AM,5 September 2022  11:32 AM,2 mins 22 secs,4.00,0.00,2.00,2.00,0.00,0.00
1194,Finished,5 September 2022  12:12 PM,5 September 2022  12:14 PM,2 mins 3 secs,2.00,0.00,0.00,2.00,0.00,0.00
1225,Finished,5 September 2022  12:24 PM,5 September 2022  12:27 PM,2 mins 51 secs,6.00,2.00,0.00,2.00,0.00,2.00
1206,Finished,5 September 2022  1:29 PM,5 September 2022  1:57 PM,27 mins 21 secs,0.00,0.00,0.00,0.00,0.00,0.00
1199,Finished,5 September 2022  1:55 PM,5 September 2022  1:58 PM,3 mins 2 secs,2.00,0.00,0.00,2.00,0.00,0.00
4871,Finished,5 September 2022  3:09 PM,5 September 2022  3:23 PM,13 mins 45 secs,6.00,0.00,2.00,2.00,2.00,0.00
1194,Finished,5 September 2022  3:46 PM,5 September 2022  3:47 PM,1 min 1 sec,6.00,0.00,2.00,2.00,0.00,2.00
1199,Finished,5 September 2022  4:21 PM,5 September 2022  4:24 PM,2 mins 52 secs,4.00,2.00,2.00,0.00,0.00,0.00
1239,Finished,5 September 2022  5:25 PM,5 September 2022  5:32 PM,7 mins 2 secs,0.00,0.00,0.00,0.00,0.00,0.00
1017,Finished,5 September 2022  7:12 PM,5 September 2022  7:15 PM,3 mins 28 secs,8.00,2.00,2.00,2.00,2.00,0.00
1196,Finished,5 September 2022  8:04 PM,5 September 2022  8:19 PM,14 mins 32 secs,2.00,0.00,0.00,0.00,0.00,2.00
1249,Finished,5 September 2022  8:43 PM,5 September 2022  8:46 PM,3 mins 8 secs,2.00,2.00,0.00,0.00,0.00,0.00
1196,Finished,5 September 2022  10:26 PM,5 September 2022  10:30 PM,3 mins 54 secs,8.00,0.00,2.00,2.00,2.00,2.00
1197,Finished,6 September 2022  12:27 AM,6 September 2022  12:42 AM,15 mins 1 sec,2.00,2.00,0.00,0.00,0.00,0.00
1197,Finished,6 September 2022  2:55 AM,6 September 2022  2:56 AM,1 min 38 secs,2.00,0.00,0.00,2.00,0.00,0.00
1195,Finished,6 September 2022  7:38 AM,6 September 2022  7:45 AM,7 mins 24 secs,4.00,0.00,2.00,2.00,0.00,0.00
1197,Finished,6 September 2022  7:55 AM,6 September 2022  7:57 AM,1 min 40 secs,2.00,0.00,2.00,0.00,0.00,0.00
6240,Finished,6 September 2022  8:15 AM,6 September 2022  8:57 AM,41 mins 42 secs,2.00,0.00,2.00,0.00,0.00,0.00
1206,Finished,6 September 2022  9:01 AM,6 September 2022  9:04 AM,3 mins 8 secs,0.00,0.00,0.00,0.00,0.00,0.00
5534,Finished,6 September 2022  9:09 AM,6 September 2022  9:11 AM,1 min 10 secs,4.00,2.00,0.00,2.00,0.00,0.00
1218,Finished,6 September 2022  10:36 AM,6 September 2022  10:42 AM,5 mins 38 secs,0.00,0.00,0.00,0.00,0.00,0.00
1197,Finished,6 September 2022  11:01 AM,6 September 2022  11:04 AM,2 mins 53 secs,4.00,0.00,2.00,2.00,0.00,0.00
1239,Finished,6 September 2022  12:14 PM,6 September 2022  12:25 PM,11 mins 4 secs,0.00,0.00,0.00,0.00,0.00,0.00
1218,Finished,6 September 2022  2:02 PM,6 September 2022  2:14 PM,12 mins 6 secs,2.00,0.00,0.00,2.00,0.00,0.00
1206,Finished,6 September 2022  2:46 PM,8 September 2022  10:30 AM,1 day 19 hours,6.00,2.00,2.00,2.00,0.00,0.00
1205,Finished,6 September 2022  3:16 PM,6 September 2022  3:22 PM,6 mins 4 secs,4.00,0.00,2.00,2.00,0.00,0.00
2074,Finished,6 September 2022  3:45 PM,6 September 2022  3:50 PM,5 mins 17 secs,0.00,0.00,0.00,0.00,0.00,0.00
1217,Finished,6 September 2022  5:38 PM,6 September 2022  5:48 PM,9 mins 32 secs,2.00,0.00,2.00,0.00,0.00,0.00
1249,Finished,6 September 2022  8:35 PM,6 September 2022  8:47 PM,11 mins 37 secs,2.00,0.00,0.00,0.00,0.00,2.00
1213,Finished,6 September 2022  8:44 PM,6 September 2022  8:56 PM,12 mins 40 secs,0.00,0.00,0.00,0.00,0.00,0.00
1354,Finished,6 September 2022  8:44 PM,6 September 2022  8:46 PM,1 min 54 secs,2.00,2.00,0.00,0.00,-,0.00
1217,Finished,6 September 2022  11:35 PM,6 September 2022  11:43 PM,7 mins 58 secs,8.00,2.00,2.00,2.00,0.00,2.00
1212,Finished,7 September 2022  7:49 AM,7 September 2022  7:59 AM,9 mins 44 secs,2.00,0.00,0.00,0.00,2.00,0.00
1201,Finished,7 September 2022  11:29 AM,7 September 2022  11:33 AM,4 mins 8 secs,2.00,0.00,2.00,0.00,0.00,0.00
1879,Finished,7 September 2022  11:35 AM,7 September 2022  11:38 AM,3 mins 29 secs,4.00,2.00,2.00,0.00,0.00,0.00
1239,Finished,7 September 2022  11:50 AM,7 September 2022  11:57 AM,7 mins 30 secs,4.00,0.00,2.00,2.00,-,0.00
1350,Finished,7 September 2022  12:10 PM,7 September 2022  8:50 PM,8 hours 40 mins,0.00,0.00,0.00,0.00,0.00,0.00
1201,Finished,7 September 2022  1:42 PM,7 September 2022  1:44 PM,2 mins 22 secs,4.00,2.00,2.00,0.00,0.00,0.00
1218,Finished,7 September 2022  1:42 PM,7 September 2022  1:55 PM,12 mins 52 secs,4.00,2.00,2.00,0.00,0.00,0.00
1292,Finished,7 September 2022  3:35 PM,7 September 2022  3:39 PM,4 mins 15 secs,0.00,0.00,0.00,0.00,0.00,0.00
1210,Finished,7 September 2022  3:58 PM,7 September 2022  4:09 PM,11 mins 8 secs,0.00,0.00,0.00,0.00,0.00,0.00
1204,Finished,7 September 2022  4:00 PM,7 September 2022  4:00 PM,29 secs,2.00,2.00,0.00,0.00,0.00,0.00
1212,Finished,7 September 2022  4:17 PM,7 September 2022  4:22 PM,5 mins 22 secs,0.00,0.00,0.00,0.00,0.00,0.00
1234,Finished,7 September 2022  4:45 PM,7 September 2022  4:48 PM,3 mins 14 secs,4.00,0.00,0.00,2.00,0.00,2.00
1292,Finished,7 September 2022  5:40 PM,7 September 2022  5:45 PM,5 mins 27 secs,2.00,0.00,0.00,2.00,0.00,0.00
1201,Finished,7 September 2022  7:03 PM,7 September 2022  7:07 PM,3 mins 59 secs,6.00,2.00,2.00,0.00,0.00,2.00
1212,Finished,7 September 2022  7:07 PM,7 September 2022  7:10 PM,2 mins 54 secs,2.00,0.00,0.00,2.00,0.00,0.00
1249,Finished,7 September 2022  7:24 PM,7 September 2022  7:27 PM,3 mins 31 secs,0.00,0.00,0.00,0.00,0.00,0.00
1303,Finished,7 September 2022  7:55 PM,7 September 2022  8:05 PM,10 mins 1 sec,4.00,2.00,2.00,0.00,0.00,0.00
1201,Finished,7 September 2022  9:10 PM,7 September 2022  9:14 PM,4 mins 47 secs,8.00,2.00,2.00,2.00,0.00,2.00
1212,Finished,7 September 2022  9:14 PM,7 September 2022  9:16 PM,1 min 26 secs,6.00,2.00,0.00,2.00,2.00,0.00
1292,Finished,7 September 2022  9:25 PM,7 September 2022  9:27 PM,1 min 51 secs,6.00,2.00,2.00,2.00,-,0.00
1204,Finished,8 September 2022  12:15 AM,8 September 2022  12:15 AM,39 secs,2.00,2.00,0.00,0.00,0.00,0.00
1249,Finished,8 September 2022  9:01 AM,8 September 2022  9:05 AM,3 mins 58 secs,2.00,2.00,0.00,0.00,0.00,0.00
1204,Finished,8 September 2022  9:09 AM,8 September 2022  9:09 AM,39 secs,4.00,0.00,0.00,2.00,0.00,2.00
1208,Finished,8 September 2022  10:07 AM,8 September 2022  10:27 AM,19 mins 26 secs,2.00,0.00,0.00,2.00,0.00,0.00
1205,Finished,8 September 2022  12:18 PM,8 September 2022  12:20 PM,2 mins 38 secs,6.00,0.00,0.00,2.00,2.00,2.00
1302,Finished,8 September 2022  12:31 PM,8 September 2022  12:38 PM,6 mins 45 secs,2.00,0.00,0.00,0.00,2.00,0.00
1208,Finished,8 September 2022  12:50 PM,8 September 2022  12:51 PM,1 min 23 secs,4.00,2.00,0.00,2.00,0.00,0.00
1244,Finished,8 September 2022  2:21 PM,8 September 2022  2:28 PM,7 mins 17 secs,0.00,0.00,0.00,0.00,0.00,0.00
1302,Finished,8 September 2022  4:26 PM,8 September 2022  5:07 PM,40 mins 19 secs,6.00,0.00,2.00,2.00,0.00,2.00
1241,Finished,8 September 2022  5:08 PM,8 September 2022  5:31 PM,23 mins 21 secs,2.00,2.00,0.00,0.00,0.00,0.00
1246,Finished,8 September 2022  5:50 PM,8 September 2022  6:17 PM,27 mins 11 secs,2.00,2.00,0.00,0.00,0.00,0.00
1245,Finished,8 September 2022  5:50 PM,8 September 2022  6:17 PM,27 mins 14 secs,2.00,2.00,0.00,0.00,0.00,0.00
1302,Finished,8 September 2022  7:11 PM,8 September 2022  7:14 PM,3 mins 26 secs,8.00,2.00,2.00,2.00,0.00,2.00
3397,Finished,8 September 2022  7:33 PM,8 September 2022  7:39 PM,5 mins 55 secs,4.00,0.00,2.00,2.00,0.00,0.00
1208,Finished,8 September 2022  8:29 PM,8 September 2022  8:29 PM,34 secs,4.00,2.00,0.00,2.00,0.00,0.00
1205,Finished,8 September 2022  9:12 PM,8 September 2022  9:13 PM,1 min 28 secs,10.00,2.00,2.00,2.00,2.00,2.00
1216,Finished,8 September 2022  9:26 PM,8 September 2022  9:27 PM,29 secs,4.00,0.00,2.00,2.00,0.00,0.00
1209,Finished,8 September 2022  10:42 PM,8 September 2022  10:47 PM,4 mins 34 secs,2.00,0.00,2.00,0.00,-,0.00
1242,Finished,9 September 2022  8:23 AM,9 September 2022  8:37 AM,14 mins 55 secs,2.00,0.00,2.00,0.00,0.00,0.00
1208,Finished,9 September 2022  9:04 AM,9 September 2022  9:06 AM,2 mins 21 secs,8.00,2.00,2.00,2.00,0.00,2.00
1209,Finished,9 September 2022  9:09 AM,9 September 2022  9:11 AM,2 mins 23 secs,4.00,2.00,2.00,0.00,-,0.00
1302,Finished,9 September 2022  9:23 AM,9 September 2022  9:26 AM,3 mins 3 secs,10.00,2.00,2.00,2.00,2.00,2.00
1210,Finished,9 September 2022  9:32 AM,9 September 2022  9:35 AM,3 mins 33 secs,6.00,2.00,2.00,2.00,0.00,0.00
3397,Finished,9 September 2022  10:36 AM,9 September 2022  10:41 AM,5 mins 6 secs,4.00,0.00,2.00,2.00,0.00,0.00
1242,Finished,9 September 2022  10:47 AM,9 September 2022  10:52 AM,4 mins 36 secs,6.00,2.00,2.00,0.00,0.00,2.00
1211,Finished,9 September 2022  11:00 AM,9 September 2022  11:01 AM,55 secs,8.00,0.00,2.00,2.00,2.00,2.00
1244,Finished,9 September 2022  11:21 AM,9 September 2022  11:33 AM,11 mins 21 secs,0.00,0.00,0.00,0.00,0.00,0.00
1241,Finished,9 September 2022  11:36 AM,9 September 2022  12:44 PM,1 hour 7 mins,6.00,2.00,2.00,2.00,0.00,0.00
1213,Finished,9 September 2022  1:19 PM,9 September 2022  1:27 PM,7 mins 55 secs,6.00,2.00,0.00,2.00,-,2.00
1244,Finished,9 September 2022  1:45 PM,9 September 2022  1:54 PM,8 mins 32 secs,6.00,2.00,2.00,2.00,0.00,0.00
1219,Finished,9 September 2022  2:46 PM,9 September 2022  2:54 PM,8 mins 6 secs,4.00,0.00,2.00,0.00,2.00,0.00
1272,Finished,9 September 2022  4:10 PM,9 September 2022  4:13 PM,2 mins 30 secs,0.00,0.00,0.00,0.00,0.00,0.00
1246,Finished,9 September 2022  4:49 PM,9 September 2022  5:31 PM,42 mins 39 secs,6.00,2.00,0.00,2.00,2.00,0.00
2111,Finished,9 September 2022  4:59 PM,9 September 2022  5:06 PM,6 mins 41 secs,2.00,0.00,0.00,2.00,0.00,0.00
1245,Finished,9 September 2022  5:24 PM,9 September 2022  5:31 PM,7 mins 33 secs,6.00,2.00,0.00,2.00,2.00,0.00
1220,Finished,9 September 2022  8:36 PM,9 September 2022  8:55 PM,18 mins 28 secs,4.00,2.00,2.00,0.00,0.00,0.00
1222,Finished,10 September 2022  1:54 AM,10 September 2022  1:59 AM,4 mins 41 secs,4.00,0.00,2.00,2.00,0.00,0.00
1434,Finished,10 September 2022  4:54 AM,10 September 2022  5:33 AM,38 mins 59 secs,6.00,2.00,0.00,2.00,-,2.00
1261,Finished,10 September 2022  6:04 AM,10 September 2022  6:05 AM,1 min 58 secs,0.00,0.00,0.00,0.00,0.00,0.00
1261,Finished,10 September 2022  2:28 PM,10 September 2022  2:29 PM,1 min 33 secs,0.00,0.00,0.00,0.00,0.00,0.00
1244,Finished,10 September 2022  2:41 PM,10 September 2022  2:45 PM,4 mins 7 secs,8.00,2.00,2.00,2.00,0.00,2.00
1269,Finished,10 September 2022  7:52 PM,10 September 2022  8:14 PM,21 mins 31 secs,2.00,0.00,2.00,0.00,0.00,0.00
1232,Finished,10 September 2022  10:39 PM,10 September 2022  10:45 PM,5 mins 52 secs,0.00,0.00,0.00,0.00,0.00,0.00
1223,Finished,10 September 2022  11:35 PM,10 September 2022  11:42 PM,7 mins,2.00,2.00,0.00,0.00,0.00,0.00
1367,Finished,11 September 2022  12:59 AM,11 September 2022  1:05 AM,6 mins 1 sec,2.00,0.00,0.00,2.00,0.00,0.00
1231,Finished,11 September 2022  8:29 AM,11 September 2022  8:36 AM,7 mins 28 secs,0.00,0.00,0.00,0.00,0.00,0.00
1261,Finished,11 September 2022  9:27 AM,11 September 2022  9:28 AM,1 min 38 secs,2.00,2.00,0.00,0.00,0.00,0.00
1223,Finished,11 September 2022  1:16 PM,11 September 2022  1:24 PM,8 mins,6.00,2.00,2.00,2.00,0.00,0.00
1269,Finished,11 September 2022  1:30 PM,11 September 2022  1:35 PM,5 mins 11 secs,6.00,0.00,2.00,2.00,2.00,0.00
1375,Finished,11 September 2022  1:58 PM,11 September 2022  2:04 PM,6 mins 21 secs,4.00,0.00,2.00,2.00,0.00,0.00
1228,Finished,11 September 2022  5:12 PM,11 September 2022  5:32 PM,19 mins 55 secs,0.00,0.00,0.00,0.00,-,0.00
1227,Finished,11 September 2022  5:42 PM,11 September 2022  5:48 PM,6 mins 12 secs,2.00,0.00,0.00,2.00,0.00,0.00
1230,Finished,11 September 2022  7:37 PM,11 September 2022  7:43 PM,5 mins 57 secs,6.00,2.00,2.00,2.00,0.00,0.00
1745,Finished,11 September 2022  8:24 PM,11 September 2022  8:51 PM,27 mins 11 secs,0.00,0.00,0.00,0.00,-,0.00
1227,Finished,11 September 2022  9:20 PM,11 September 2022  9:23 PM,2 mins 44 secs,2.00,0.00,0.00,2.00,0.00,0.00
1231,Finished,11 September 2022  10:07 PM,11 September 2022  10:12 PM,4 mins 47 secs,6.00,2.00,2.00,2.00,0.00,0.00
1358,Finished,12 September 2022  10:22 AM,12 September 2022  10:23 AM,40 secs,2.00,0.00,0.00,0.00,0.00,2.00
1265,Finished,12 September 2022  10:53 AM,12 September 2022  11:05 AM,12 mins 30 secs,2.00,0.00,0.00,0.00,2.00,0.00
1228,Finished,12 September 2022  11:56 AM,12 September 2022  11:59 AM,2 mins 23 secs,0.00,0.00,0.00,0.00,-,0.00
1462,Finished,12 September 2022  12:10 PM,12 September 2022  12:22 PM,11 mins 36 secs,4.00,2.00,2.00,0.00,0.00,0.00
1252,Finished,12 September 2022  12:34 PM,12 September 2022  12:42 PM,7 mins 47 secs,4.00,2.00,2.00,0.00,0.00,0.00
1227,Finished,12 September 2022  2:09 PM,12 September 2022  2:13 PM,4 mins 20 secs,6.00,2.00,2.00,2.00,0.00,0.00
1228,Finished,12 September 2022  2:39 PM,12 September 2022  2:43 PM,4 mins 20 secs,0.00,0.00,0.00,0.00,-,0.00
1283,Finished,12 September 2022  2:47 PM,12 September 2022  3:01 PM,14 mins 8 secs,4.00,0.00,2.00,0.00,2.00,0.00
1358,Finished,12 September 2022  3:45 PM,12 September 2022  3:47 PM,1 min 53 secs,4.00,2.00,0.00,0.00,0.00,2.00
1233,Finished,12 September 2022  3:47 PM,12 September 2022  3:57 PM,10 mins 3 secs,2.00,0.00,2.00,0.00,0.00,0.00
1850,Finished,12 September 2022  4:23 PM,12 September 2022  4:28 PM,5 mins 32 secs,2.00,0.00,0.00,2.00,0.00,0.00
1228,Finished,12 September 2022  4:46 PM,12 September 2022  4:49 PM,3 mins 1 sec,8.00,2.00,2.00,2.00,0.00,2.00
1263,Finished,12 September 2022  5:18 PM,12 September 2022  5:26 PM,7 mins 33 secs,8.00,2.00,2.00,2.00,2.00,0.00
1261,Finished,12 September 2022  6:45 PM,12 September 2022  6:50 PM,5 mins 1 sec,4.00,2.00,0.00,2.00,0.00,0.00
1238,Finished,12 September 2022  7:11 PM,12 September 2022  7:14 PM,2 mins 24 secs,4.00,2.00,0.00,0.00,-,2.00
1247,Finished,12 September 2022  8:23 PM,12 September 2022  8:32 PM,8 mins 39 secs,2.00,2.00,0.00,0.00,0.00,0.00
1265,Finished,12 September 2022  8:47 PM,12 September 2022  8:52 PM,4 mins 43 secs,0.00,0.00,0.00,0.00,0.00,0.00
1850,Finished,12 September 2022  9:39 PM,12 September 2022  9:43 PM,4 mins 6 secs,6.00,0.00,2.00,2.00,0.00,2.00
1232,Finished,12 September 2022  10:01 PM,12 September 2022  10:41 PM,40 mins 4 secs,8.00,0.00,2.00,2.00,2.00,2.00
1236,Finished,12 September 2022  10:37 PM,12 September 2022  11:00 PM,23 mins 40 secs,0.00,0.00,0.00,0.00,0.00,0.00
1229,Finished,13 September 2022  1:41 AM,13 September 2022  1:48 AM,6 mins 43 secs,6.00,0.00,2.00,2.00,0.00,2.00
1236,Finished,13 September 2022  7:36 AM,13 September 2022  7:58 AM,22 mins 11 secs,4.00,2.00,0.00,2.00,0.00,0.00
1265,Finished,13 September 2022  9:07 AM,13 September 2022  9:14 AM,7 mins 19 secs,8.00,2.00,2.00,2.00,2.00,0.00
1259,Finished,13 September 2022  9:57 AM,13 September 2022  10:01 AM,4 mins 3 secs,2.00,0.00,2.00,0.00,0.00,0.00
1233,Finished,13 September 2022  10:38 AM,13 September 2022  10:44 AM,5 mins 12 secs,4.00,2.00,0.00,2.00,0.00,0.00
1283,Finished,13 September 2022  11:26 AM,13 September 2022  11:30 AM,3 mins 41 secs,6.00,0.00,2.00,0.00,2.00,2.00
1866,Finished,13 September 2022  11:55 AM,13 September 2022  12:03 PM,8 mins 7 secs,6.00,2.00,2.00,2.00,0.00,0.00
1229,Finished,13 September 2022  12:49 PM,13 September 2022  12:52 PM,3 mins 5 secs,6.00,0.00,2.00,2.00,0.00,2.00
1240,Finished,13 September 2022  6:41 PM,13 September 2022  6:57 PM,15 mins 41 secs,2.00,2.00,0.00,0.00,0.00,0.00
3397,Finished,13 September 2022  7:05 PM,13 September 2022  8:16 PM,1 hour 11 mins,6.00,2.00,2.00,2.00,0.00,0.00
1236,Finished,13 September 2022  7:23 PM,13 September 2022  7:26 PM,2 mins 45 secs,8.00,2.00,2.00,2.00,0.00,2.00
1388,Finished,13 September 2022  7:49 PM,13 September 2022  7:53 PM,4 mins 8 secs,2.00,0.00,2.00,0.00,-,0.00
1272,Finished,13 September 2022  8:36 PM,13 September 2022  8:38 PM,2 mins 8 secs,0.00,0.00,0.00,0.00,0.00,0.00
1249,Finished,13 September 2022  8:54 PM,13 September 2022  8:55 PM,1 min,4.00,2.00,2.00,0.00,-,0.00
1240,Finished,13 September 2022  9:00 PM,13 September 2022  9:10 PM,10 mins 18 secs,8.00,2.00,2.00,2.00,0.00,2.00
1229,Finished,13 September 2022  10:20 PM,13 September 2022  10:21 PM,1 min 46 secs,6.00,0.00,2.00,2.00,0.00,2.00
1290,Finished,14 September 2022  12:14 AM,14 September 2022  12:23 AM,8 mins 55 secs,2.00,0.00,2.00,0.00,-,0.00
1229,Finished,14 September 2022  1:56 AM,14 September 2022  1:59 AM,2 mins 56 secs,6.00,0.00,2.00,2.00,0.00,2.00
1311,Finished,14 September 2022  5:51 AM,14 September 2022  5:54 AM,3 mins 20 secs,0.00,0.00,0.00,0.00,0.00,0.00
1248,Finished,14 September 2022  11:57 AM,14 September 2022  12:01 PM,4 mins 19 secs,0.00,0.00,0.00,0.00,0.00,0.00
1273,Finished,14 September 2022  12:31 PM,14 September 2022  12:37 PM,5 mins 31 secs,0.00,0.00,0.00,0.00,0.00,0.00
1248,Finished,14 September 2022  2:03 PM,14 September 2022  2:14 PM,10 mins 37 secs,2.00,0.00,0.00,0.00,0.00,2.00
1273,Finished,14 September 2022  5:37 PM,14 September 2022  5:49 PM,12 mins 5 secs,2.00,0.00,0.00,2.00,0.00,0.00
1311,Finished,14 September 2022  5:53 PM,14 September 2022  5:56 PM,2 mins 45 secs,2.00,2.00,0.00,0.00,0.00,0.00
1248,Finished,14 September 2022  6:03 PM,15 September 2022  11:08 AM,17 hours 4 mins,6.00,2.00,2.00,0.00,0.00,2.00
1262,Finished,14 September 2022  7:53 PM,14 September 2022  8:06 PM,13 mins 5 secs,0.00,0.00,0.00,0.00,0.00,0.00
1311,Finished,14 September 2022  8:18 PM,14 September 2022  8:20 PM,1 min 27 secs,2.00,2.00,0.00,0.00,0.00,0.00
1252,Finished,14 September 2022  8:19 PM,14 September 2022  8:29 PM,10 mins 39 secs,6.00,2.00,2.00,2.00,0.00,0.00
1273,Finished,14 September 2022  9:17 PM,14 September 2022  9:20 PM,3 mins 11 secs,6.00,2.00,2.00,2.00,0.00,0.00
1243,Finished,14 September 2022  11:26 PM,14 September 2022  11:29 PM,3 mins,4.00,2.00,2.00,0.00,0.00,0.00
1255,Finished,15 September 2022  12:07 AM,15 September 2022  12:27 AM,20 mins 19 secs,2.00,0.00,0.00,2.00,0.00,0.00
1290,Finished,15 September 2022  12:24 AM,15 September 2022  12:33 AM,9 mins 41 secs,4.00,0.00,2.00,2.00,0.00,0.00
1268,Finished,15 September 2022  7:30 AM,15 September 2022  7:44 AM,14 mins 32 secs,0.00,0.00,0.00,0.00,-,0.00
1250,Finished,15 September 2022  9:00 AM,15 September 2022  9:08 AM,7 mins 21 secs,0.00,0.00,0.00,0.00,0.00,0.00
1252,Finished,15 September 2022  9:47 AM,15 September 2022  10:06 AM,18 mins 58 secs,6.00,2.00,2.00,2.00,0.00,0.00
1359,Finished,15 September 2022  11:23 AM,15 September 2022  11:35 AM,11 mins 48 secs,2.00,0.00,0.00,0.00,0.00,2.00
1280,Finished,15 September 2022  11:41 AM,15 September 2022  11:52 AM,10 mins 40 secs,0.00,0.00,0.00,0.00,0.00,0.00
1253,Finished,15 September 2022  12:52 PM,15 September 2022  1:04 PM,11 mins 32 secs,4.00,0.00,2.00,2.00,0.00,0.00
1247,Finished,15 September 2022  1:58 PM,15 September 2022  2:01 PM,3 mins 35 secs,4.00,2.00,2.00,0.00,0.00,0.00
1254,Finished,15 September 2022  1:58 PM,15 September 2022  2:21 PM,22 mins 24 secs,4.00,0.00,2.00,2.00,0.00,0.00
1254,Finished,15 September 2022  5:02 PM,15 September 2022  5:11 PM,9 mins 5 secs,8.00,2.00,2.00,2.00,2.00,0.00
1311,Finished,15 September 2022  6:19 PM,15 September 2022  6:22 PM,3 mins 8 secs,2.00,2.00,0.00,0.00,0.00,0.00
1272,Finished,15 September 2022  7:21 PM,15 September 2022  7:25 PM,3 mins 8 secs,4.00,0.00,0.00,2.00,0.00,2.00
1250,Finished,15 September 2022  8:34 PM,15 September 2022  8:44 PM,9 mins 49 secs,6.00,2.00,2.00,2.00,0.00,0.00
1280,Finished,15 September 2022  9:19 PM,15 September 2022  9:24 PM,5 mins 3 secs,4.00,2.00,0.00,2.00,0.00,0.00
1255,Finished,15 September 2022  10:17 PM,15 September 2022  10:21 PM,3 mins 56 secs,2.00,0.00,0.00,2.00,0.00,0.00
1259,Finished,15 September 2022  11:03 PM,15 September 2022  11:07 PM,4 mins 41 secs,2.00,0.00,2.00,0.00,0.00,0.00
1321,Finished,15 September 2022  11:08 PM,16 September 2022  7:52 AM,8 hours 44 mins,0.00,0.00,0.00,0.00,-,0.00
1268,Finished,16 September 2022  6:36 AM,16 September 2022  6:43 AM,6 mins 13 secs,2.00,0.00,0.00,2.00,-,0.00
1255,Finished,16 September 2022  9:06 AM,16 September 2022  9:13 AM,7 mins 1 sec,4.00,2.00,0.00,2.00,0.00,0.00
460,In progress,16 September 2022  11:20 AM,-,-,-,-,-,-,-,-
1260,Finished,16 September 2022  12:29 PM,16 September 2022  12:34 PM,5 mins 23 secs,0.00,0.00,0.00,0.00,0.00,0.00
6240,Finished,16 September 2022  1:41 PM,16 September 2022  2:08 PM,27 mins 1 sec,2.00,0.00,0.00,2.00,0.00,0.00
1232,Finished,16 September 2022  3:15 PM,16 September 2022  3:16 PM,1 min 7 secs,10.00,2.00,2.00,2.00,2.00,2.00
1745,Finished,16 September 2022  6:02 PM,16 September 2022  7:55 PM,1 hour 52 mins,2.00,0.00,0.00,0.00,-,2.00
1281,Finished,16 September 2022  7:22 PM,16 September 2022  7:31 PM,8 mins 51 secs,4.00,0.00,2.00,2.00,0.00,0.00
1256,Finished,16 September 2022  8:54 PM,16 September 2022  9:11 PM,17 mins 6 secs,6.00,2.00,2.00,2.00,0.00,0.00
1259,Finished,16 September 2022  10:36 PM,16 September 2022  10:39 PM,2 mins 54 secs,4.00,2.00,0.00,2.00,0.00,0.00
1745,Finished,16 September 2022  10:53 PM,16 September 2022  11:03 PM,10 mins 3 secs,0.00,0.00,0.00,0.00,-,0.00
1281,Finished,16 September 2022  11:23 PM,16 September 2022  11:30 PM,6 mins 44 secs,4.00,0.00,2.00,2.00,0.00,0.00
1290,Finished,16 September 2022  11:39 PM,16 September 2022  11:46 PM,6 mins 55 secs,4.00,0.00,2.00,2.00,0.00,0.00
1290,Finished,17 September 2022  1:47 AM,17 September 2022  1:53 AM,5 mins 39 secs,8.00,2.00,2.00,2.00,0.00,2.00
